,kLa_10,kLa_25,kLa_50,kLa_inst_10,kLa_inst_25,kLa_inst_50,dtmix_0.50,dtmix_0.75,dtmix_0.95,vor_mean,vel_rms_qss,kla_fit_rmse_25,tau_95_qss,tau_98_qss,tau_100_qss,tau_95_max,tau_98_max,tau_100_max
87,42.75068010578957,54.18989882914661,38.91465596654098,41.62792042400888,56.72137089089612,33.142082432125775,14.97358778933691,27.45157761378445,90.67339272431865,0.7765392569437821,0.2030486674260435,0.0007888217005516,0.0032060664333044,0.0066792170095433,0.0270581247593733,0.0041760053903166,0.009108404171673,0.0425465411803762
88,59.68169142979968,59.50153905457584,52.5275630916067,58.00958586565838,49.29946155655611,53.10265203653699,8.139557919438237,15.826918176685362,48.38514985443831,0.8123812402880026,0.2066797804728377,0.000986572178045,0.0024597493421523,0.0041997740743033,0.0263398472012673,0.0029364674838466,0.0051954877675355,0.0458363901807664
89,44.587482730109485,51.318136706878434,41.25748832283638,38.73581530502339,51.655714026268086,36.84604825147222,15.502957054616516,31.005914109233245,100.20203949935149,0.7558448019997369,0.2025267567800291,0.0006161480425344,0.0032600599770796,0.0068650131584253,0.0263443232490424,0.0040373548726403,0.0101809896533174,0.0374145173327099
90,46.30255921904459,57.70605506670621,46.46705154383086,42.97211291090244,50.74333874294233,40.7499882110869,13.77162382533611,27.948295410241023,95.99631901778466,0.879272673096536,0.2321761220668472,0.000743741694955,0.003538408673693,0.0078799048677406,0.0268103964148185,0.0046036619154642,0.011009558404883,0.0449493889290896
91,49.10945027376592,56.0308464336227,44.11992819372324,43.16170932903613,65.23475671774284,42.74516429646486,13.210033943717558,30.693902398637974,88.19640309482072,0.7385281523439072,0.1839665177020244,0.0008952787586767,0.0030188787695367,0.0059922309917197,0.0280878012953476,0.0037482682130386,0.0081369801787098,0.0530014135406629
92,40.64036042515277,69.44330222763196,45.49735279005614,44.44550461107823,45.73975632271216,49.541884288859286,15.944098109016386,28.768698761920767,97.05103196792535,0.8302134851958991,0.199202490687617,0.001629424886342,0.0031474514187567,0.0074890293967968,0.026889046974517,0.0044965130092269,0.0127331603765038,0.044283732255158
93,56.89545682090439,46.318006631207446,49.633642719665005,58.75042181342869,48.63578399816119,48.40190930811378,10.174447399297906,19.595232028277287,52.37956253712549,0.8383701548136558,0.1695335891657597,0.0003005733141329,0.0024733341082523,0.004113439886707,0.0256765503406564,0.0032303398625374,0.0054296811442042,0.0607918833143087
94,45.21967780589698,35.052025437622085,34.36919539686048,39.17123696703343,33.51888727683082,34.15122101500128,15.223400014581747,28.19148150848469,65.40423709968445,0.725979357351577,0.257080207428475,0.0003140192925795,0.0035041255193726,0.0066245855081534,0.0256667619858308,0.0045251103174608,0.0086595561328265,0.0545821477110922
95,38.41303454441845,35.44474450877122,51.25132711734224,37.61642299464399,35.4077953833801,53.88517211504859,19.74607827897473,31.89751106603612,66.8328803288374,0.6733266318640835,0.2259516834311649,0.0004200833600451,0.0033657417330299,0.0060986804274229,0.0264151078474596,0.0042720726965548,0.0087707890859307,0.0425383587617728
96,39.33029334647326,49.72541354546284,37.53100885137358,44.64848319964159,50.42628367119229,36.21062318185694,14.24611503734256,30.629147330286585,92.59974774272663,0.7750657369873082,0.1785297784914677,0.0005861603944259,0.0028642023286665,0.0063782880489664,0.0276986219175532,0.0038496136738739,0.0095407385424274,0.0484798868869275
97,50.17323638262778,76.91253918673647,35.629028968017444,47.9684855636298,95.05736991002904,38.30073459868962,13.501591985623726,27.00318397124745,77.9716937169771,0.9411687970251396,0.2447594881107776,0.0019510283554165,0.00345294689229,0.0092892219047932,0.0270080056511326,0.0052476292161481,0.0157842606061179,0.0485453126150439
98,61.7133736550613,62.08166789636004,46.601319243307536,70.80791042468333,59.852382115690666,50.85214053410412,9.739641954883142,21.21850568742421,62.26413964014673,0.8450573287407952,0.1609146253310384,0.0005643728210881,0.0025599309402838,0.0044444556229814,0.0277634359739437,0.0032871417266594,0.0054215255041893,0.0455420642796585
99,49.38347008164176,66.32689999813181,42.02764662490205,59.70572819020025,58.56955534954395,49.86799994024941,12.38455286725775,25.16860743991123,65.51827968484808,0.6922199807956018,0.1544341257735111,0.0006131930224529,0.0027361643961366,0.0048906147451563,0.0286673168589468,0.0033984384062103,0.0061640981183585,0.0423593777611587
100,40.09810440054036,51.27122294463161,34.38853210439124,49.09349242581346,62.10120652453484,35.943842547847034,16.082742440399247,31.88819621803261,128.6619395231924,0.882491684790032,0.2016023773591805,0.000897481467139,0.0033203870736352,0.0087636882792838,0.0277949372544898,0.004874006526595,0.0148701369877386,0.0496611170119606
101,44.53051018055657,49.54918858872056,30.3062842352507,50.23949032717062,58.29812072633369,30.859438229722823,13.63442560228536,25.47484783584897,82.52415496120062,0.9726022669656738,0.2566369096073401,0.0006922956447424,0.0038779074301278,0.0100378347348967,0.0276668669474845,0.005506681565463,0.0135098108855103,0.0376677564694133
102,44.8339246164722,59.97352932344971,40.58730359093276,54.44593701526416,50.00500072107165,37.38870512761068,13.086158386066035,27.73019277047328,89.4220823047848,0.9677427900101472,0.2278858800135954,0.0006195364301881,0.0036190267187278,0.0103412443851895,0.028460166568545,0.005181579751376,0.0146386418508174,0.0425430116804746
103,47.072316540770615,40.5860384231332,29.968289965407926,43.87526285757249,47.85610592246101,22.849798863743235,13.624333730947743,27.24866746189528,102.36661560009264,0.891244006592828,0.2313888817395121,0.000731480140133,0.003697290723659,0.0090433593034651,0.0253966329337601,0.0048520418319045,0.0122937414905483,0.0438264359144898
104,53.03310719006326,60.66639955276873,42.19057914310853,65.98452884803359,73.43173878378465,31.11688688571793,13.81382593915746,25.983148790319976,77.94944637096012,1.0083319627715222,0.2679700701509113,0.0010902804142176,0.0037019259871709,0.00911995035606,0.0275911878598332,0.0060804483742191,0.0188930053806633,0.0507534085773691
105,38.602357732823066,43.69338214219065,29.145391282230925,44.49478489906706,51.83398867115568,32.80246316295963,19.83680433630119,38.39381484445399,95.66458865409776,0.8306706390988554,0.1990864293577542,0.0005193129391547,0.00342831989826,0.0084276414492299,0.0272118599007146,0.0045055773021921,0.0124396759835605,0.0400802933793649
106,58.6486091925413,46.899207829648006,36.05232139809162,68.79350797002697,43.63911064562211,34.91663012502267,23.670468062046066,43.395858113751146,128.8725483378065,0.7273968064472872,0.1726136257014672,0.0006355268640958,0.0030323541575457,0.0069297668464396,0.0288719082002936,0.0037831116679262,0.0102108179587943,0.0533476855617739
107,52.66608907512828,59.09981078341836,43.85794471748439,60.08247982248946,58.92685843405271,50.56352464031027,9.36695157395657,19.37989980818616,52.32572948210259,0.8472018065901935,0.1595437820652064,0.0005201222433758,0.0027086109505255,0.0045792930519467,0.0274876079678889,0.0034091305152757,0.0057514145560495,0.0448244697395616
108,46.11570257135381,39.1845013675499,52.124911118969216,45.55801955022887,30.870506583200086,60.86692646719788,19.43043648584784,37.03926955114754,113.54661321417365,1.0252604834139654,0.2675298975743709,0.0006287320718619,0.0037468752005187,0.0116876300187413,0.0291008195512644,0.0061228952666786,0.0192895462262945,0.0430218781902517
109,48.17364164587023,53.90060837578197,38.54132182286199,58.72818653864995,66.05728900817374,39.1267032867226,13.598031928378148,30.95722162418008,94.89690367038394,0.9762435565256876,0.2316490893209821,0.0007843498316416,0.0036618732276401,0.0115194899519468,0.0286712698024237,0.0051948957311816,0.0160615797416593,0.0408534216244998
110,37.02730914643203,38.243620335597086,41.7212052208758,38.47552038449402,43.76655663832168,46.751281717035546,16.179516363839085,36.93814113253828,109.89860171664276,0.7082950725705542,0.170057967529548,0.0005559171375712,0.0029658680968186,0.0072705292121576,0.0270963004498814,0.0039039232319399,0.0109107231497227,0.0428010164336258
111,54.92973299247212,48.72307551816689,55.06306208980828,48.681044116002965,54.2539645622567,60.07748412693735,9.866130811440131,17.676817703830217,44.80867743529093,0.8136584528024258,0.1811255581897646,0.0005657495282141,0.0023610048458543,0.0041495928794599,0.0262334036132994,0.0030954170657253,0.0053531859906545,0.0424090529930814
112,47.88432704807754,47.94085139581082,42.36158147256804,52.74529255237309,50.09006139638715,42.100449814701015,15.88787551457149,31.099671220012315,85.86213575959944,0.6796955664507881,0.1416658497470577,0.0003639225180456,0.0027088899378816,0.0055285254064618,0.0295047577801171,0.0035160612105714,0.0072782041535208,0.0492776043748111
113,46.05644953545675,51.00671324656799,33.48356189400724,48.397871259697176,50.723006632450826,36.35212343825802,18.41843458554333,38.94183312372007,94.4602573744293,1.0889226627110102,0.2624451108911058,0.0003222700573494,0.0037768175902217,0.0145220132663067,0.0298445910729093,0.0062953369408788,0.0205501703680494,0.0621622838126436
114,49.17857084616257,48.53537570172742,35.535037907439126,51.818295149786806,42.37629984505433,40.656046179886594,16.008604051916368,30.13384292125428,86.63479839860591,0.6694439205399699,0.1409276031467929,0.0008285769881971,0.0027110961025453,0.0059417760881212,0.0281278512146668,0.003583518235746,0.0078632488076362,0.0410464987753256
115,46.97731385763354,63.12775076425682,55.308012475896845,47.562910863824605,59.74156287065899,51.59063935891047,15.01460576111112,26.73332245270993,64.45294180379379,0.666787955632009,0.1491915547489997,0.0006266382329238,0.0026700625013281,0.0049539206155845,0.0263291473773038,0.0036339796244273,0.007228364794015,0.0514993553678932
116,42.21705648035769,50.8702980416701,29.45232460215817,46.79052318045085,41.993532480308616,33.849781138404055,16.340224770109877,33.27463953186008,109.62805345764622,0.8522257370466175,0.1996429975297473,0.0005336792768702,0.0033277217448786,0.0091967270180477,0.0277880572068522,0.0045040846743398,0.0132608532384145,0.0560467119842554
117,54.90653210232844,54.87049348198505,33.145308156919164,42.58475885134536,47.83689958187724,32.23003844365442,20.297866686108947,36.930840776115005,95.56912231376305,1.0604819736604538,0.2593289438576325,0.0004348052457481,0.0037642827949665,0.0122670737621341,0.0285073614146335,0.0060533160852163,0.0187586591516889,0.0413555857319454
118,60.46273208678745,54.21486514729393,52.75615059643719,50.09362228725767,47.29159155364184,62.251997508876,9.64688346007468,17.786441379513004,48.53588240850185,0.8713976640785087,0.1526409468921248,0.0004842913450242,0.0027271450955844,0.0046575702325541,0.0261182973131439,0.0035323789151825,0.0060362242804563,0.0487491438644198
119,37.29821102141431,44.70102144378806,35.63610201574672,39.93854316301073,53.35344170446436,29.629905993719287,27.067618570950867,50.14632493144588,115.10860950172784,0.6968763695149921,0.1643471452868489,0.0004938404533736,0.0029369043222489,0.0078919218137355,0.0280933015410075,0.0039504916933832,0.0113416711354024,0.0493811076729282
120,42.86356603053678,41.40571367475406,29.16060887918213,48.00650533106769,40.57609313638216,32.005415902007506,16.11323545094843,28.417887977127027,70.31230014959314,0.6496754354763468,0.1396318966501096,0.000161853431736,0.002836326822123,0.0062746052261155,0.0285242692431278,0.0037562900108805,0.0085167428856067,0.0481404706383351
121,56.53399158053229,48.33425601912983,44.57210759333304,53.157109734655535,44.117223277729416,52.27738878708048,13.77124453609784,29.44197107717458,76.92902120164979,0.7315773738824436,0.1874555385422909,0.0007702332634137,0.0027678441632736,0.0051437738301702,0.0268320383593065,0.0038161525258958,0.0068572564692415,0.0422404803402729
122,44.79837629991245,43.58736672376498,42.764903477575245,47.01038429366568,38.72680663175526,50.62228363180064,21.60254717699789,37.35440449355891,81.90965804611724,0.7897136779397582,0.2281327665336948,0.001167819628302,0.0033880589048251,0.0067289375797258,0.0244688891728462,0.0046049323824586,0.0096858327482954,0.0359677510836286
123,44.53051018055657,49.54918858872056,30.3062842352507,50.23949032717062,58.29812072633369,30.859438229722823,13.63442560228536,25.47484783584897,82.52415496120062,0.9726022669656738,0.2566369096073401,0.0006922956447424,0.0038779074301278,0.0100378347348967,0.0276668669474845,0.005506681565463,0.0135098108855103,0.0376677564694133
124,61.15803745028793,61.03534351784275,48.98843486295795,69.16847899981235,65.36478146566625,56.28950795946675,8.541511396941393,16.580580947003774,45.722208065980055,0.8237783086035348,0.2260069090982082,0.0010721795784073,0.0024529228486415,0.0041951988100757,0.0274583982878056,0.0029460049643032,0.0052883455501958,0.0605833143515473
125,46.05644953545675,51.00671324656799,33.48356189400724,48.397871259697176,50.723006632450826,36.35212343825802,18.41843458554333,38.94183312372007,94.4602573744293,1.0889226627110102,0.2624451108911058,0.0003222700573494,0.0037768175902217,0.0145220132663067,0.0298445910729093,0.0062953369408788,0.0205501703680494,0.0621622838126436
126,46.97731385763354,63.12775076425682,55.308012475896845,47.562910863824605,59.74156287065899,51.59063935891047,15.01460576111112,26.73332245270993,64.45294180379379,0.666787955632009,0.1491915547489997,0.0006266382329238,0.0026700625013281,0.0049539206155845,0.0263291473773038,0.0036339796244273,0.007228364794015,0.0514993553678932
127,61.2146856513517,65.84285397717608,54.92893101488836,67.61139984611496,66.62421460859935,54.66060794069933,10.67240270127746,23.85595897932623,70.31230014959307,0.7161281405115886,0.2299832415828227,0.0008733798053261,0.0024560679594962,0.0041810102050089,0.0266625232990088,0.0033875142534518,0.0057777390330838,0.0480994578145753
128,57.67029706196775,67.58060886287556,62.20625809380897,60.34054542812744,68.07885623710949,69.1762953016351,10.25387710514899,22.705013589972744,63.72052201056875,0.7237984660764561,0.2634164848568458,0.0007155143281268,0.0024263429263625,0.0040508934818577,0.0278227242204402,0.0030781123459165,0.0054919363687582,0.0472552781361248
129,64.5413105420709,60.15343799020194,51.400797434914224,60.56547456418544,65.16562566056072,50.797502017283165,10.98629689837393,22.52190864166668,70.31230014959321,0.671002839039133,0.2185534603194658,0.00103935833587,0.0027098464776481,0.0044876408139855,0.0274810289012401,0.0033454373131836,0.0052545917837505,0.0448706085754302
130,58.45395512129411,59.235989306050776,53.413393041918326,58.63119022491211,53.24391292086847,56.31837771352179,13.183556278048664,25.390552831797475,74.70681890894265,0.6746941037770369,0.181301219951086,0.0010185811778141,0.0025875883261111,0.0043471586639699,0.0269645472673588,0.0033235591683899,0.0052560170784898,0.0450722470028543
131,45.21967780589698,35.052025437622085,34.36919539686048,39.17123696703343,33.51888727683082,34.15122101500128,15.223400014581747,28.19148150848469,65.40423709968445,0.725979357351577,0.257080207428475,0.0003140192925795,0.0035041255193726,0.0066245855081534,0.0256667619858308,0.0045251103174608,0.0086595561328265,0.0545821477110922
132,58.357273511094526,33.02474523429717,29.124639534564867,51.308731671924726,32.69712567811529,29.022739722273663,28.353343169809843,47.255571949683045,100.58686029289674,0.6474625307870927,0.2461358542726027,0.0005821148896382,0.0031959265812485,0.005466241576626,0.0251109496682845,0.0042097066717876,0.0066444821910382,0.0397494722818698
133,50.17323638262778,76.91253918673647,35.629028968017444,47.9684855636298,95.05736991002904,38.30073459868962,13.501591985623726,27.00318397124745,77.9716937169771,0.9411687970251396,0.2447594881107776,0.0019510283554165,0.00345294689229,0.0092892219047932,0.0270080056511326,0.0052476292161481,0.0157842606061179,0.0485453126150439
134,60.42186353488517,55.53952994834766,55.57529677864635,60.9595954436614,49.07460342246619,51.97948536321169,8.397956583547316,17.44190982736756,38.75979961637231,0.878061265706377,0.29357292612252,0.0009817375449324,0.0024001993852606,0.0043095636050528,0.0253422690473638,0.0029600177616695,0.0060545722545325,0.0508892711588949
135,40.2972545669892,43.27511283193363,36.28930186374933,34.75319712974116,44.15056410511309,39.94710573983198,18.418434585543284,30.69739097590556,66.21865767659625,0.8462477820000581,0.2524010568729318,0.0003130864950418,0.0036377371050987,0.0078431383844335,0.0262984151517696,0.0050264295059177,0.0113165918460467,0.0374823451120185
136,49.21680002076527,50.91175365759739,45.20268686813655,41.03433574149974,57.54915624574032,48.427201988301725,21.83648219278329,36.91405323065744,88.38576125650344,0.6360820599386872,0.2042282961723341,0.0007028950962247,0.003168712080984,0.0057016909972676,0.0268489776695607,0.0040028842588335,0.0076664164179305,0.0417194759284418
137,59.68169142979968,59.50153905457584,52.5275630916067,58.00958586565838,49.29946155655611,53.10265203653699,8.139557919438237,15.826918176685362,48.38514985443831,0.8123812402880026,0.2066797804728377,0.000986572178045,0.0024597493421523,0.0041997740743033,0.0263398472012673,0.0029364674838466,0.0051954877675355,0.0458363901807664
138,57.920895455554856,50.54004058405894,50.00892562444108,49.78061972843802,57.66678907754444,55.82224080737014,15.944098109016288,33.96786118877386,82.49337717273654,0.6423801758831886,0.2331787572089421,0.0010572795043182,0.0029366358342996,0.0048832601256389,0.0255991095741427,0.0038432284253734,0.0057648426380601,0.0425807318813018
139,53.78543143865537,51.843813467309324,44.07456929999763,56.11493757508117,59.12764051835968,48.39939334670422,19.01407973249152,33.27463953186008,83.1865988296503,0.6246068955938636,0.2215999532668703,0.0010925683583909,0.0030747277545353,0.0052958335767227,0.0246575141446149,0.0039009111436109,0.0066797628902396,0.0455472737407771
140,42.86356603053678,41.40571367475406,29.16060887918213,48.00650533106769,40.57609313638216,32.005415902007506,16.11323545094843,28.417887977127027,70.31230014959314,0.6496754354763468,0.1396318966501096,0.000161853431736,0.002836326822123,0.0062746052261155,0.0285242692431278,0.0037562900108805,0.0085167428856067,0.0481404706383351
141,48.64549502805501,34.11264128730227,31.36059707333879,54.45153668383745,29.1074304633546,35.6273394962089,19.09510866538211,31.24654145244343,82.74547088332253,0.6447077463645716,0.2365538906703483,0.0006621106206467,0.0034009860493499,0.0058496803249954,0.0261239975736472,0.0044257972981376,0.0080102380195898,0.0395474737439934
142,46.11570257135381,39.1845013675499,52.124911118969216,45.55801955022887,30.870506583200086,60.86692646719788,19.43043648584784,37.03926955114754,113.54661321417365,1.0252604834139654,0.2675298975743709,0.0006287320718619,0.0037468752005187,0.0116876300187413,0.0291008195512644,0.0061228952666786,0.0192895462262945,0.0430218781902517
143,49.156893990544106,51.52420439812553,45.14430109788553,41.03817994791631,59.702569179392896,43.66083101660485,13.024464456919972,24.075525208246017,82.48827489382634,0.9307739157170968,0.2562143929518057,0.0006405184621149,0.0038265323954022,0.0085385927687052,0.027106650715694,0.0052385961611649,0.0128953762968516,0.0594098090743968
144,44.587482730109485,51.318136706878434,41.25748832283638,38.73581530502339,51.655714026268086,36.84604825147222,15.502957054616516,31.005914109233245,100.20203949935149,0.7558448019997369,0.2025267567800291,0.0006161480425344,0.0032600599770796,0.0068650131584253,0.0263443232490424,0.0040373548726403,0.0101809896533174,0.0374145173327099
145,40.64036042515277,69.44330222763196,45.49735279005614,44.44550461107823,45.73975632271216,49.541884288859286,15.944098109016386,28.768698761920767,97.05103196792535,0.8302134851958991,0.199202490687617,0.001629424886342,0.0031474514187567,0.0074890293967968,0.026889046974517,0.0044965130092269,0.0127331603765038,0.044283732255158
146,48.17364164587023,53.90060837578197,38.54132182286199,58.72818653864995,66.05728900817374,39.1267032867226,13.598031928378148,30.95722162418008,94.89690367038394,0.9762435565256876,0.2316490893209821,0.0007843498316416,0.0036618732276401,0.0115194899519468,0.0286712698024237,0.0051948957311816,0.0160615797416593,0.0408534216244998
147,49.38347008164176,66.32689999813181,42.02764662490205,59.70572819020025,58.56955534954395,49.86799994024941,12.38455286725775,25.16860743991123,65.51827968484808,0.6922199807956018,0.1544341257735111,0.0006131930224529,0.0027361643961366,0.0048906147451563,0.0286673168589468,0.0033984384062103,0.0061640981183585,0.0423593777611587
148,56.89545682090439,46.318006631207446,49.633642719665005,58.75042181342869,48.63578399816119,48.40190930811378,10.174447399297906,19.595232028277287,52.37956253712549,0.8383701548136558,0.1695335891657597,0.0003005733141329,0.0024733341082523,0.004113439886707,0.0256765503406564,0.0032303398625374,0.0054296811442042,0.0607918833143087
149,52.66608907512828,59.09981078341836,43.85794471748439,60.08247982248946,58.92685843405271,50.56352464031027,9.36695157395657,19.37989980818616,52.32572948210259,0.8472018065901935,0.1595437820652064,0.0005201222433758,0.0027086109505255,0.0045792930519467,0.0274876079678889,0.0034091305152757,0.0057514145560495,0.0448244697395616
150,47.072316540770615,40.5860384231332,29.968289965407926,43.87526285757249,47.85610592246101,22.849798863743235,13.624333730947743,27.24866746189528,102.36661560009264,0.891244006592828,0.2313888817395121,0.000731480140133,0.003697290723659,0.0090433593034651,0.0253966329337601,0.0048520418319045,0.0122937414905483,0.0438264359144898
151,54.90653210232844,54.87049348198505,33.145308156919164,42.58475885134536,47.83689958187724,32.23003844365442,20.297866686108947,36.930840776115005,95.56912231376305,1.0604819736604538,0.2593289438576325,0.0004348052457481,0.0037642827949665,0.0122670737621341,0.0285073614146335,0.0060533160852163,0.0187586591516889,0.0413555857319454
152,57.64966957564189,66.18240035818377,48.54480717597643,62.30365522327578,72.71528840858554,53.213380525657946,8.478706166081444,15.826918176685426,40.13254251945214,0.8281681085451735,0.2658408332840465,0.0008048881526447,0.0024986756131765,0.0043690927777927,0.0245544457754683,0.002935641619464,0.0053594747248038,0.0442433460793677
153,56.92256641065641,47.73966139357535,49.85904284403622,53.99098414793279,49.38349146024969,50.61966081311766,14.9584207892096,28.31415363671825,75.86056257384908,0.654583505380105,0.2062080206720087,0.0007216369123129,0.0027934931454809,0.0048894260055364,0.0264220379794106,0.0037559877186008,0.0061552219412426,0.0506528604829814
154,54.47678265528343,51.44767352594003,51.37777226736998,55.74328777584319,44.872926962861605,42.56419021158154,14.501911905853383,26.367112556097428,76.9040782886175,0.6872703490515366,0.154975418119408,0.000858553393468,0.002711111896002,0.0044047885990807,0.0289887279426609,0.0034317433758309,0.0058659746159936,0.0438404350535015
155,38.41303454441845,35.44474450877122,51.25132711734224,37.61642299464399,35.4077953833801,53.88517211504859,19.74607827897473,31.89751106603612,66.8328803288374,0.6733266318640835,0.2259516834311649,0.0004200833600451,0.0033657417330299,0.0060986804274229,0.0264151078474596,0.0042720726965548,0.0087707890859307,0.0425383587617728
156,42.75068010578957,54.18989882914661,38.91465596654098,41.62792042400888,56.72137089089612,33.142082432125775,14.97358778933691,27.45157761378445,90.67339272431865,0.7765392569437821,0.2030486674260435,0.0007888217005516,0.0032060664333044,0.0066792170095433,0.0270581247593733,0.0041760053903166,0.009108404171673,0.0425465411803762
157,60.46273208678745,54.21486514729393,52.75615059643719,50.09362228725767,47.29159155364184,62.251997508876,9.64688346007468,17.786441379513004,48.53588240850185,0.8713976640785087,0.1526409468921248,0.0004842913450242,0.0027271450955844,0.0046575702325541,0.0261182973131439,0.0035323789151825,0.0060362242804563,0.0487491438644198
158,46.77847192315034,43.237658029711696,40.079959302507554,44.975622497638,50.846906302006296,47.466388298296,19.87235416486096,33.73678730313601,76.7165300317886,0.7166968569035895,0.2020349329944023,0.0007538898535032,0.0030783758705322,0.0059841880509542,0.0264863463412152,0.0040512230602415,0.0081309482459989,0.039388532840802
159,49.17857084616257,48.53537570172742,35.535037907439126,51.818295149786806,42.37629984505433,40.656046179886594,16.008604051916368,30.13384292125428,86.63479839860591,0.6694439205399699,0.1409276031467929,0.0008285769881971,0.0027110961025453,0.0059417760881212,0.0281278512146668,0.003583518235746,0.0078632488076362,0.0410464987753256
160,53.03310719006326,60.66639955276873,42.19057914310853,65.98452884803359,73.43173878378465,31.11688688571793,13.81382593915746,25.983148790319976,77.94944637096012,1.0083319627715222,0.2679700701509113,0.0010902804142176,0.0037019259871709,0.00911995035606,0.0275911878598332,0.0060804483742191,0.0188930053806633,0.0507534085773691
161,37.02730914643203,38.243620335597086,41.7212052208758,38.47552038449402,43.76655663832168,46.751281717035546,16.179516363839085,36.93814113253828,109.89860171664276,0.7082950725705542,0.170057967529548,0.0005559171375712,0.0029658680968186,0.0072705292121576,0.0270963004498814,0.0039039232319399,0.0109107231497227,0.0428010164336258
162,49.10945027376592,56.0308464336227,44.11992819372324,43.16170932903613,65.23475671774284,42.74516429646486,13.210033943717558,30.693902398637974,88.19640309482072,0.7385281523439072,0.1839665177020244,0.0008952787586767,0.0030188787695367,0.0059922309917197,0.0280878012953476,0.0037482682130386,0.0081369801787098,0.0530014135406629
163,64.39991889696284,48.63832142930705,58.92330497266891,66.97072329855067,46.73249990697805,66.26852241307715,12.210955746293624,25.03245927990198,72.04463890313244,0.6738760512719926,0.2061348228256198,0.0004972981935996,0.0027727657274529,0.0045244556470384,0.0264841747246034,0.0036606825194569,0.0059084576771899,0.0447804615875967
164,61.7133736550613,62.08166789636004,46.601319243307536,70.80791042468333,59.852382115690666,50.85214053410412,9.739641954883142,21.21850568742421,62.26413964014673,0.8450573287407952,0.1609146253310384,0.0005643728210881,0.0025599309402838,0.0044444556229814,0.0277634359739437,0.0032871417266594,0.0054215255041893,0.0455420642796585
165,44.8339246164722,59.97352932344971,40.58730359093276,54.44593701526416,50.00500072107165,37.38870512761068,13.086158386066035,27.73019277047328,89.4220823047848,0.9677427900101472,0.2278858800135954,0.0006195364301881,0.0036190267187278,0.0103412443851895,0.028460166568545,0.005181579751376,0.0146386418508174,0.0425430116804746
166,30.941924504067487,39.93836199191212,32.09422561316588,29.592812827829867,40.43094146319447,34.859959076140136,21.7074407615331,38.48137225908152,87.32311397253127,0.7404391149891204,0.2594483870348699,7.45430690067596e-05,0.0036096653875315,0.0070878059613382,0.0256876537793522,0.0047895112712133,0.0101259469874729,0.0522814986317915
167,52.571375248002525,62.95454853435912,55.68332038040614,62.33686885615645,59.89915924402637,61.78977035622559,7.536627703183506,15.073255406367013,52.00273115196618,0.8279835291411618,0.3320868232291389,0.0010880882923457,0.0024382047349729,0.0043275831589664,0.0268770625070041,0.0031137899196537,0.0060562242889469,0.0517896925728691
168,39.33029334647326,49.72541354546284,37.53100885137358,44.64848319964159,50.42628367119229,36.21062318185694,14.24611503734256,30.629147330286585,92.59974774272663,0.7750657369873082,0.1785297784914677,0.0005861603944259,0.0028642023286665,0.0063782880489664,0.0276986219175532,0.0038496136738739,0.0095407385424274,0.0484798868869275
169,53.12018983786999,52.72281725883956,53.78070581743144,59.29871974867319,47.04887744184045,49.02821004033799,14.9584207892097,29.9168415784194,70.51826943484566,0.6580932491153746,0.2253326118116919,0.0012476277355011,0.0026435957541042,0.0042463901622651,0.0273813790943202,0.0034363948572832,0.005364697598283,0.0492891677365337
170,54.92973299247212,48.72307551816689,55.06306208980828,48.681044116002965,54.2539645622567,60.07748412693735,9.866130811440131,17.676817703830217,44.80867743529093,0.8136584528024258,0.1811255581897646,0.0005657495282141,0.0023610048458543,0.0041495928794599,0.0262334036132994,0.0030954170657253,0.0053531859906545,0.0424090529930814
171,37.29821102141431,44.70102144378806,35.63610201574672,39.93854316301073,53.35344170446436,29.629905993719287,27.067618570950867,50.14632493144588,115.10860950172784,0.6968763695149921,0.1643471452868489,0.0004938404533736,0.0029369043222489,0.0078919218137355,0.0280933015410075,0.0039504916933832,0.0113416711354024,0.0493811076729282
172,42.21705648035769,50.8702980416701,29.45232460215817,46.79052318045085,41.993532480308616,33.849781138404055,16.340224770109877,33.27463953186008,109.62805345764622,0.8522257370466175,0.1996429975297473,0.0005336792768702,0.0033277217448786,0.0091967270180477,0.0277880572068522,0.0045040846743398,0.0132608532384145,0.0560467119842554
173,43.39743059563122,36.17636059458047,47.692492293514285,51.1232250982876,38.34084954884568,48.569615461390015,16.4450308799494,24.99644693752307,62.49111734380772,0.747213074638431,0.2775696634284481,0.000302759111231,0.0033748507762847,0.0061186819211413,0.0251192381104117,0.0045766003433142,0.0075164813303979,0.0424032712612659
174,38.602357732823066,43.69338214219065,29.145391282230925,44.49478489906706,51.83398867115568,32.80246316295963,19.83680433630119,38.39381484445399,95.66458865409776,0.8306706390988554,0.1990864293577542,0.0005193129391547,0.00342831989826,0.0084276414492299,0.0272118599007146,0.0045055773021921,0.0124396759835605,0.0400802933793649
175,40.09810440054036,51.27122294463161,34.38853210439124,49.09349242581346,62.10120652453484,35.943842547847034,16.082742440399247,31.88819621803261,128.6619395231924,0.882491684790032,0.2016023773591805,0.000897481467139,0.0033203870736352,0.0087636882792838,0.0277949372544898,0.004874006526595,0.0148701369877386,0.0496611170119606
